University Name,URL
Shree Sankaracharaya University of Sanskrit,http://www.ssus.ac.in
Thunchath Ezhuthachan Malayalam University,http://malayalamuniversity.edu.in
Central University of Kerala,http://www.cukerala.ac.in
Ayush and Health Sciences University of Chhattisgarh,http://cghealthuniv.com
Bastar Vishwavidyalaya,http://www.bvvjdp.ac.in
Bilaspur Vishwavidyalaya,http://www.bilaspuruniversity.ac.in
Chhattisgarh Kamdhenu Vishwavidyalaya,http://cgkv.ac.in
Chhattisgarh Swami Vivekanad Technical Universty,http://www.csvtu.ac.in
Hidayatullah National Law University,http://www.hnlu.ac.in
Indira Gandhi Krishi Vishwavidyalaya,http://www.igau.edu.in
Indira Kala Sangeet Vishwavidyalaya,http://www.iksvv.com
Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya,http://www.ktujm.ac.in
Pt. Sundarlal Sharma (Open) University,http://www.pssou.ac.in
Pt.Ravishankar Shukla University,http://www.prsu.ac.in
Guru Ghasidas Vishwavidyalaya,http://www.ggu.ac.in
Atal Bihari Vajpayee Hindi Vishwavidyalaya,http://www.abvhv.org
Barkatullaah University,http://www.bubhopal.nic.in
Devi Ahilya Vishwavidyalaya,http://www.dauniv.ac.in
Jawaharlal Nehru Krishi Vishwavidyalaya,http://www.jnkvv.nic.in
Jiwaji University,http://www.jiwaji.edu
M.G.Gramodaya Vishwavidyalaya,http://www.mgcgvchitrakoot.com
M.P.Bhoj (open) University,http://www.bhojvirtualuniversity.com
Nanaji Deshmukh Pashu Chikitsa Vigyan Vishwavidyalaya,http://www.mppcvv.org
Maharaja Chhatrasal Bundelkhand Vishwavidyalaya,http://www.mchhatrasaluniversity.com
Maharishi Mahesh Yogi Vedic Vishwavidyalaya,http://www.mmyvv.com
Raja Mansingh Tomar Music & Arts University,http://rmtmusicandartsuniversity.com
Vikram University,http://www.vikramuniv.net
The Indira Gandhi National Tribal University,http://igntu.nic.in
Dr. Babasaheb Ambedkar Marathwada University,http://www.bamu.net
Gondwana University,http://www.gondwanauniversity.org
Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,http://www.sanskrituni.net
Konkan Krishi Vidyapeeth,http://www.dbskkv.org
